,,ACT Combined Midrange,ACT English Midrange,ACT Math Midrange,ACT Writing Midrange,Admission Rate,Average Age of Entry,Average Cost Academic Year,Average Cost Program Year,Carnegie Basic Classification,Carnegie Size,Carnegie Undergraduate,City,Completion Rate,Faculty Salary,Gender,Highest Degree,Latitude,Longitude,Mean Earnings 10 years,Mean Earnings 6 years,Median Earnings 10 years,Median Earnings 6 years,Ownership,Percent Asian,Percent Black,Percent Female,Percent Hispanic,Percent Married,Percent Part Time,Percent Part Time Faculty,Percent Pell Grant,Percent Veteran,Percent White,Predominant Degree,Region,Religious Affiliation,SAT Math Midrange,SAT Total Average,SAT Verbal Midrange,SAT Writing Midrange,School Name,School Webpage,Spend per student,State,Tuition (Instate),Tuition (Out of state),UNITID,Undergrad Size,ZIP,agege24,faminc
0,0,17.0,17.0,17.0,,0.8989,,18888.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, highly residential (3,000 to 9,999)","Full-time four-year, inclusive",Normal,0.2914,7079.0,COED,Graduate,34.7834,-86.5685,35300,26100,31400,22800,Public,0.0022,0.9501,0.52999997138977,0.0089,,0.0622,0.8856,0.7115,,0.0279,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,400.0,823.0,410.0,,Alabama A & M University,www.aamu.edu/,7459.0,AL,7182.0,12774.0,100654,4051.0,35762,0.07999999821186,40211.22
1,1,25.0,26.0,23.0,,0.8673,,19990.0,,Research Universities (very high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Medium full-time four-year, selective, higher transfer-in",Birmingham,0.5377,10170.0,COED,Graduate,33.5022,-86.8092,46300,37400,40300,33200,Public,0.0518,0.259,0.64999997615814,0.0258,,0.2579,0.9106,0.3505,,0.5987,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,585.0,1146.0,580.0,,University of Alabama at Birmingham,www.uab.edu,17208.0,AL,7206.0,16398.0,100663,11200.0,35294-0110,0.25999999046325,49894.65
2,2,,,,,,,12300.0,,Baccalaureate Colleges--Arts & Sciences,"Very small 4-year, primarily nonresidential (less than 1,000,)","Medium full-time four-year, inclusivestudents with varying levels academic preparation and achievement)",Montgomery,0.6667,3849.0,COED,Graduate,32.3626,-86.174,42100,38500,38100,32800,Private nonprofit,0.0031,0.4224,0.50999999046325,0.0093,,0.3727,0.6721,0.6839,,0.2919,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Churches of Christ,,,,,Amridge University,www.amridgeuniversity.edu,5123.0,AL,6870.0,6870.0,100690,322.0,36117-3553,0.82999998331069,38712.18
3,3,26.0,26.0,25.0,,0.8062,,20306.0,,Research Universities (very high research activity),"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Medium full-time four-year, selective, higher transfer-in",Huntsville,0.4835,9341.0,COED,Graduate,34.7228,-86.6384,52700,39300,46600,36700,Public,0.0364,0.131,0.55000001192092,0.0338,,0.2395,0.6555,0.3281,,0.7012,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,580.0,1180.0,575.0,,University of Alabama in Huntsville,www.uah.edu,9352.0,AL,9192.0,21506.0,100706,5525.0,35899,0.28999999165534,54155.4
4,4,17.0,17.0,17.0,,0.5125,,17400.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily residential (3,000 to 9,999)","Full-time four-year, inclusive",Montgomery,0.2517,6557.0,COED,Graduate,32.3643,-86.2957,30700,21200,27800,19300,Public,0.0015,0.9285,0.56999999284744,0.0114,,0.0902,0.6641,0.8265,,0.0161,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,425.0,830.0,430.0,,Alabama State University,www.alasu.edu/email/index.aspx,7393.0,AL,8720.0,15656.0,100724,5354.0,36104-0271,0.10999999940395,31846.99
5,5,26.0,27.0,25.0,7.0,0.5655,,26717.0,,Research Universities (high research activity),"Large 4-year, primarily residential (over 9,999)","Full-time four-year, selective, lower transfer-in",Tuscaloosa,0.6665,9605.0,COED,Graduate,33.2144,-87.5458,49100,35700,42400,32900,Public,0.0112,0.114,0.56000000238418,0.0313,,0.0852,0.7109,0.2107,,0.7865,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,570.0,1171.0,555.0,540.0,The University of Alabama,www.ua.edu/,9817.0,AL,9450.0,23950.0,100751,28692.0,35487-0166,0.10000000149011,74131.14
6,6,,,,,,,12103.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Medium full-time two-year,Alexander City,,5805.0,COED,Associate,32.9244,-85.9465,31400,25300,27100,22700,Public,0.0022,0.2945,0.72000002861022,0.0118,,0.466,0.3871,0.6515,,0.6785,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Central Alabama Community College,www.cacc.edu,5935.0,AL,4200.0,7500.0,100760,1779.0,35010,0.41999998688697,27315.85
7,7,,,,,,,,,Baccalaureate Colleges--Diverse Fields,"Small 4-year, primarily nonresidential (1,000 to 2,999)",Higher part-time four-year,Athens,,7672.0,COED,Bachelors,34.8056,-86.9651,41500,34600,39700,33300,Public,0.0047,0.1064,0.72000002861022,0.0213,,0.5502,0.4412,0.4107,,0.7513,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Athens State University,www.athens.edu,6176.0,AL,,,100812,2999.0,35611,0.61000001430511,40441.28
8,8,21.0,21.0,20.0,,0.8371,,16556.0,,Master's Colleges and Universities (larger programs),"Medium 4-year, primarily nonresidential (3,000 to 9,999)","Medium full-time four-year, selective, higher transfer-in",Montgomery,0.2705,7173.0,COED,Graduate,32.3699,-86.1774,36700,30400,34800,27500,Public,0.0245,0.3031,0.68000000715255,0.0079,,0.3061,0.9262,0.4006,,0.5532,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,970.0,,,Auburn University at Montgomery,www.aum.edu,6817.0,AL,8750.0,24950.0,100830,4322.0,36117-3596,0.31999999284744,40107.7
9,9,27.0,28.0,26.0,7.0,0.8274,,23788.0,,Research Universities (high research activity),"Large 4-year, primarily nonresidential (over 9,999)","Full-time four-year, more selective, higher transfer-in",Auburn University,0.6792,9429.0,COED,Graduate,32.6002,-85.4924,52100,39300,45400,35900,Public,0.0213,0.0714,0.49000000953674,0.0253,,0.0902,0.878,0.1687,,0.8543,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,595.0,1215.0,570.0,565.0,Auburn University,www.auburn.edu,11324.0,AL,9852.0,26364.0,100858,19761.0,36849,0.07000000029802,88745.91
10,10,26.0,27.0,25.0,,0.6422,,44512.0,,Baccalaureate Colleges--Arts & Sciences,"Small 4-year, highly residential (1,000 to 2,999)","Full-time four-year, more selective, lower transfer-in",Birmingham,0.6192,7513.0,COED,Bachelors,33.5155,-86.8536,45300,30200,41900,26800,Private nonprofit,0.039,0.094,0.56999999284744,0.0305,,0.0119,0.6479,0.2136,,0.8103,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",United Methodist,580.0,1177.0,575.0,,Birmingham Southern College,www.bsc.edu/,9990.0,AL,30690.0,30690.0,100937,1181.0,35254,0.01999999955296,106237.94
11,11,,,,,,,6800.0,,Associate's--Public Rural-serving Medium,"Small 2-year (500 to 1,999)",Mixed part/full-time two-year,Phenix City,,5749.0,COED,Associate,32.4239,-85.0315,31200,25100,27700,21600,Public,0.0136,0.4409,0.70999997854232,0.0379,,0.4059,0.2903,0.6116,,0.4675,Associate,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",,,,,,Chattahoochee Valley Community College,www.cv.edu,4459.0,AL,4260.0,7590.0,101028,1769.0,36869,0.43000000715255,26080.04
12,12,,,,,,,17655.0,,Baccalaureate Colleges--Diverse Fields,"Very small 4-year, highly residential (less than 1,000)","Full-time four-year, inclusive",Selma,0.2115,5720.0,COED,Bachelors,32.4223,-87.0242,24400,19900,21300,18300,Private nonprofit,0.0038,0.9388,0.37000000476837,0.0134,,0.0631,0.5833,0.8363,,0.0115,Bachelors,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)",Lutheran Church - Missouri Synod,,,,,Concordia College Alabama,www.ccal.edu/,6652.0,AL,8090.0,8090.0,101073,523.0,36701,0.18000000715255,17535.24
